,model,audio,liwc,value,personality,linguistic,topic,trial,score,task
0,LogisticRegression,True,False,False,False,False,False,0,0.7794765484710144,auto_tag
1,LogisticRegression,True,False,False,False,False,False,1,0.7804294769453525,auto_tag
2,LogisticRegression,True,False,False,False,False,False,2,0.7802151145485312,auto_tag
3,LogisticRegression,True,False,False,False,False,False,3,0.7810836533441714,auto_tag
4,LogisticRegression,True,False,False,False,False,False,4,0.7796011053700512,auto_tag
5,NaiveBayes,True,False,False,False,False,False,0,0.6738091001218893,auto_tag
6,NaiveBayes,True,False,False,False,False,False,1,0.672717125598168,auto_tag
7,NaiveBayes,True,False,False,False,False,False,2,0.6708865913377678,auto_tag
8,NaiveBayes,True,False,False,False,False,False,3,0.6706131834927864,auto_tag
9,NaiveBayes,True,False,False,False,False,False,4,0.6733979977112953,auto_tag
10,MLPClassifier,True,False,False,False,False,False,0,0.7929313583613687,auto_tag
11,MLPClassifier,True,False,False,False,False,False,1,0.7912906613770865,auto_tag
12,MLPClassifier,True,False,False,False,False,False,2,0.7917786274308679,auto_tag
13,MLPClassifier,True,False,False,False,False,False,3,0.7925632264096178,auto_tag
14,MLPClassifier,True,False,False,False,False,False,4,0.7934052797503007,auto_tag
15,LogisticRegression,False,True,False,False,False,False,0,0.7171213184244539,auto_tag
16,LogisticRegression,False,True,False,False,False,False,1,0.7172773792734287,auto_tag
17,LogisticRegression,False,True,False,False,False,False,2,0.7182671910859922,auto_tag
18,LogisticRegression,False,True,False,False,False,False,3,0.7182614357935307,auto_tag
19,LogisticRegression,False,True,False,False,False,False,4,0.715620377397052,auto_tag
20,NaiveBayes,False,True,False,False,False,False,0,0.5496494083537424,auto_tag
21,NaiveBayes,False,True,False,False,False,False,1,0.5538465541465298,auto_tag
22,NaiveBayes,False,True,False,False,False,False,2,0.5347083199494939,auto_tag
23,NaiveBayes,False,True,False,False,False,False,3,0.5492216304135056,auto_tag
24,NaiveBayes,False,True,False,False,False,False,4,0.5275355488840346,auto_tag
25,MLPClassifier,False,True,False,False,False,False,0,0.7288115960010022,auto_tag
26,MLPClassifier,False,True,False,False,False,False,1,0.7239639978830867,auto_tag
27,MLPClassifier,False,True,False,False,False,False,2,0.7258713677204722,auto_tag
28,MLPClassifier,False,True,False,False,False,False,3,0.7259943124841131,auto_tag
29,MLPClassifier,False,True,False,False,False,False,4,0.7276663932085095,auto_tag
30,LogisticRegression,False,False,True,False,False,False,0,0.72469268171719,auto_tag
31,LogisticRegression,False,False,True,False,False,False,1,0.7250573584569668,auto_tag
32,LogisticRegression,False,False,True,False,False,False,2,0.7265374304802763,auto_tag
33,LogisticRegression,False,False,True,False,False,False,3,0.7243750257563495,auto_tag
34,LogisticRegression,False,False,True,False,False,False,4,0.7228500611916931,auto_tag
35,NaiveBayes,False,False,True,False,False,False,0,0.6173419941433974,auto_tag
36,NaiveBayes,False,False,True,False,False,False,1,0.6233945736830105,auto_tag
37,NaiveBayes,False,False,True,False,False,False,2,0.6273861872970514,auto_tag
38,NaiveBayes,False,False,True,False,False,False,3,0.6199911794846336,auto_tag
39,NaiveBayes,False,False,True,False,False,False,4,0.6176960858156084,auto_tag
40,MLPClassifier,False,False,True,False,False,False,0,0.7237262291226186,auto_tag
41,MLPClassifier,False,False,True,False,False,False,1,0.7359739889028188,auto_tag
42,MLPClassifier,False,False,True,False,False,False,2,0.7336992946660196,auto_tag
43,MLPClassifier,False,False,True,False,False,False,3,0.7312949551290723,auto_tag
44,MLPClassifier,False,False,True,False,False,False,4,0.7297882203463757,auto_tag
45,LogisticRegression,False,False,False,True,False,False,0,0.7037721024781726,auto_tag
46,LogisticRegression,False,False,False,True,False,False,1,0.7069324778662317,auto_tag
47,LogisticRegression,False,False,False,True,False,False,2,0.7049974492114344,auto_tag
48,LogisticRegression,False,False,False,True,False,False,3,0.7045813562357381,auto_tag
49,LogisticRegression,False,False,False,True,False,False,4,0.7039371596359788,auto_tag
50,NaiveBayes,False,False,False,True,False,False,0,0.6209150728265264,auto_tag
51,NaiveBayes,False,False,False,True,False,False,1,0.6217670490527947,auto_tag
52,NaiveBayes,False,False,False,True,False,False,2,0.6298450180477861,auto_tag
53,NaiveBayes,False,False,False,True,False,False,3,0.6194046041630092,auto_tag
54,NaiveBayes,False,False,False,True,False,False,4,0.6246857296730374,auto_tag
55,MLPClassifier,False,False,False,True,False,False,0,0.7061413766239046,auto_tag
56,MLPClassifier,False,False,False,True,False,False,1,0.7108845381824539,auto_tag
57,MLPClassifier,False,False,False,True,False,False,2,0.7126723663895448,auto_tag
58,MLPClassifier,False,False,False,True,False,False,3,0.7089121265552998,auto_tag
59,MLPClassifier,False,False,False,True,False,False,4,0.7106284484312833,auto_tag
60,LogisticRegression,False,False,False,False,True,False,0,0.6777027796690457,auto_tag
61,LogisticRegression,False,False,False,False,True,False,1,0.6781939327197778,auto_tag
62,LogisticRegression,False,False,False,False,True,False,2,0.6781348874336924,auto_tag
63,LogisticRegression,False,False,False,False,True,False,3,0.6796380879988914,auto_tag
64,LogisticRegression,False,False,False,False,True,False,4,0.6779950394462224,auto_tag
65,NaiveBayes,False,False,False,False,True,False,0,0.6471947978791858,auto_tag
66,NaiveBayes,False,False,False,False,True,False,1,0.649400258651727,auto_tag
67,NaiveBayes,False,False,False,False,True,False,2,0.6463545525213121,auto_tag
68,NaiveBayes,False,False,False,False,True,False,3,0.6492706479645984,auto_tag
69,NaiveBayes,False,False,False,False,True,False,4,0.6508419693635451,auto_tag
70,MLPClassifier,False,False,False,False,True,False,0,0.6844406195708856,auto_tag
71,MLPClassifier,False,False,False,False,True,False,1,0.679287039696889,auto_tag
72,MLPClassifier,False,False,False,False,True,False,2,0.6851857423387941,auto_tag
73,MLPClassifier,False,False,False,False,True,False,3,0.6826778833416137,auto_tag
74,MLPClassifier,False,False,False,False,True,False,4,0.6812328673700544,auto_tag
75,LogisticRegression,False,False,False,False,False,True,0,0.7181841498260969,auto_tag
76,LogisticRegression,False,False,False,False,False,True,1,0.7179275852182837,auto_tag
77,LogisticRegression,False,False,False,False,False,True,2,0.7176932268174971,auto_tag
78,LogisticRegression,False,False,False,False,False,True,3,0.7167909569723211,auto_tag
79,LogisticRegression,False,False,False,False,False,True,4,0.7174500679304651,auto_tag
80,NaiveBayes,False,False,False,False,False,True,0,0.6065081196580494,auto_tag
81,NaiveBayes,False,False,False,False,False,True,1,0.6040455489263217,auto_tag
82,NaiveBayes,False,False,False,False,False,True,2,0.6064527313268695,auto_tag
83,NaiveBayes,False,False,False,False,False,True,3,0.604361029857245,auto_tag
84,NaiveBayes,False,False,False,False,False,True,4,0.6039564360280291,auto_tag
85,MLPClassifier,False,False,False,False,False,True,0,0.718055170317096,auto_tag
86,MLPClassifier,False,False,False,False,False,True,1,0.7179182242238308,auto_tag
87,MLPClassifier,False,False,False,False,False,True,2,0.7216752458574133,auto_tag
88,MLPClassifier,False,False,False,False,False,True,3,0.7218692957639552,auto_tag
89,MLPClassifier,False,False,False,False,False,True,4,0.7222537598693255,auto_tag
90,LogisticRegression,True,True,False,False,False,False,0,0.7931294264064411,auto_tag
91,LogisticRegression,True,True,False,False,False,False,1,0.7927226114200362,auto_tag
92,LogisticRegression,True,True,False,False,False,False,2,0.791900155428321,auto_tag
93,LogisticRegression,True,True,False,False,False,False,3,0.7936566503424913,auto_tag
94,LogisticRegression,True,True,False,False,False,False,4,0.7943038517292236,auto_tag
95,NaiveBayes,True,True,False,False,False,False,0,0.6717674136793991,auto_tag
96,NaiveBayes,True,True,False,False,False,False,1,0.6676671606433988,auto_tag
97,NaiveBayes,True,True,False,False,False,False,2,0.663723818263246,auto_tag
98,NaiveBayes,True,True,False,False,False,False,3,0.6665950119381506,auto_tag
99,NaiveBayes,True,True,False,False,False,False,4,0.665092682071778,auto_tag
100,MLPClassifier,True,True,False,False,False,False,0,0.8040758311428412,auto_tag
101,MLPClassifier,True,True,False,False,False,False,1,0.8068390398261565,auto_tag
102,MLPClassifier,True,True,False,False,False,False,2,0.804554159262296,auto_tag
103,MLPClassifier,True,True,False,False,False,False,3,0.8060540214632664,auto_tag
104,MLPClassifier,True,True,False,False,False,False,4,0.8067701094114612,auto_tag
105,LogisticRegression,True,False,True,False,False,False,0,0.797147425918254,auto_tag
106,LogisticRegression,True,False,True,False,False,False,1,0.7982077416499554,auto_tag
107,LogisticRegression,True,False,True,False,False,False,2,0.7980277051660539,auto_tag
108,LogisticRegression,True,False,True,False,False,False,3,0.7992814136937431,auto_tag
109,LogisticRegression,True,False,True,False,False,False,4,0.7972173871113188,auto_tag
110,NaiveBayes,True,False,True,False,False,False,0,0.6791407240203606,auto_tag
111,NaiveBayes,True,False,True,False,False,False,1,0.6891475889590056,auto_tag
112,NaiveBayes,True,False,True,False,False,False,2,0.6813760362267356,auto_tag
113,NaiveBayes,True,False,True,False,False,False,3,0.6831610970070999,auto_tag
114,NaiveBayes,True,False,True,False,False,False,4,0.6856897939103124,auto_tag
115,MLPClassifier,True,False,True,False,False,False,0,0.8086617389144716,auto_tag
116,MLPClassifier,True,False,True,False,False,False,1,0.808198226523108,auto_tag
117,MLPClassifier,True,False,True,False,False,False,2,0.8055651072190966,auto_tag
118,MLPClassifier,True,False,True,False,False,False,3,0.8081900673840735,auto_tag
119,MLPClassifier,True,False,True,False,False,False,4,0.8103313563843701,auto_tag
120,LogisticRegression,True,False,False,True,False,False,0,0.7900236869479397,auto_tag
121,LogisticRegression,True,False,False,True,False,False,1,0.7914688159715881,auto_tag
122,LogisticRegression,True,False,False,True,False,False,2,0.7916280247760621,auto_tag
123,LogisticRegression,True,False,False,True,False,False,3,0.7918595101478155,auto_tag
124,LogisticRegression,True,False,False,True,False,False,4,0.7903172365660699,auto_tag
125,NaiveBayes,True,False,False,True,False,False,0,0.6720555535069379,auto_tag
126,NaiveBayes,True,False,False,True,False,False,1,0.6777528057938822,auto_tag
127,NaiveBayes,True,False,False,True,False,False,2,0.6724154001515334,auto_tag
128,NaiveBayes,True,False,False,True,False,False,3,0.6712380731194877,auto_tag
129,NaiveBayes,True,False,False,True,False,False,4,0.6745450585826842,auto_tag
130,MLPClassifier,True,False,False,True,False,False,0,0.8024578989771854,auto_tag
131,MLPClassifier,True,False,False,True,False,False,1,0.7978524814348787,auto_tag
132,MLPClassifier,True,False,False,True,False,False,2,0.80349557710891,auto_tag
133,MLPClassifier,True,False,False,True,False,False,3,0.7997950522543281,auto_tag
134,MLPClassifier,True,False,False,True,False,False,4,0.8007118978449335,auto_tag
135,LogisticRegression,True,False,False,False,True,False,0,0.7833455379189136,auto_tag
136,LogisticRegression,True,False,False,False,True,False,1,0.7848105312165562,auto_tag
137,LogisticRegression,True,False,False,False,True,False,2,0.78482640283262,auto_tag
138,LogisticRegression,True,False,False,False,True,False,3,0.7879510724087397,auto_tag
139,LogisticRegression,True,False,False,False,True,False,4,0.7855832502523875,auto_tag
140,NaiveBayes,True,False,False,False,True,False,0,0.6723740397879372,auto_tag
141,NaiveBayes,True,False,False,False,True,False,1,0.6771136234776182,auto_tag
142,NaiveBayes,True,False,False,False,True,False,2,0.6750413247421403,auto_tag
143,NaiveBayes,True,False,False,False,True,False,3,0.671211266465621,auto_tag
144,NaiveBayes,True,False,False,False,True,False,4,0.6707197276777472,auto_tag
145,MLPClassifier,True,False,False,False,True,False,0,0.7972717473502318,auto_tag
146,MLPClassifier,True,False,False,False,True,False,1,0.7963841510616131,auto_tag
147,MLPClassifier,True,False,False,False,True,False,2,0.7977635884899389,auto_tag
148,MLPClassifier,True,False,False,False,True,False,3,0.7980626706149715,auto_tag
149,MLPClassifier,True,False,False,False,True,False,4,0.7984347907656908,auto_tag
150,LogisticRegression,True,False,False,False,False,True,0,0.7962990473905674,auto_tag
151,LogisticRegression,True,False,False,False,False,True,1,0.7964895050322768,auto_tag
152,LogisticRegression,True,False,False,False,False,True,2,0.7957559253348438,auto_tag
153,LogisticRegression,True,False,False,False,False,True,3,0.7953039224862265,auto_tag
154,LogisticRegression,True,False,False,False,False,True,4,0.7962290711863534,auto_tag
155,NaiveBayes,True,False,False,False,False,True,0,0.6698915839589263,auto_tag
156,NaiveBayes,True,False,False,False,False,True,1,0.6497710752814676,auto_tag
157,NaiveBayes,True,False,False,False,False,True,2,0.667889471479222,auto_tag
158,NaiveBayes,True,False,False,False,False,True,3,0.6704797411888263,auto_tag
159,NaiveBayes,True,False,False,False,False,True,4,0.6656766722317905,auto_tag
160,MLPClassifier,True,False,False,False,False,True,0,0.8047082050904789,auto_tag
161,MLPClassifier,True,False,False,False,False,True,1,0.8053625332922024,auto_tag
162,MLPClassifier,True,False,False,False,False,True,2,0.8049042942117932,auto_tag
163,MLPClassifier,True,False,False,False,False,True,3,0.8049547279475757,auto_tag
164,MLPClassifier,True,False,False,False,False,True,4,0.8058347308571798,auto_tag
165,LogisticRegression,False,True,True,False,False,False,0,0.7365209846153669,auto_tag
166,LogisticRegression,False,True,True,False,False,False,1,0.7392769627690621,auto_tag
167,LogisticRegression,False,True,True,False,False,False,2,0.7383743637005907,auto_tag
168,LogisticRegression,False,True,True,False,False,False,3,0.7385036748990169,auto_tag
169,LogisticRegression,False,True,True,False,False,False,4,0.7387215461027842,auto_tag
170,NaiveBayes,False,True,True,False,False,False,0,0.5821416461932615,auto_tag
171,NaiveBayes,False,True,True,False,False,False,1,0.5688435216647418,auto_tag
172,NaiveBayes,False,True,True,False,False,False,2,0.5902449578158748,auto_tag
173,NaiveBayes,False,True,True,False,False,False,3,0.5752405707898051,auto_tag
174,NaiveBayes,False,True,True,False,False,False,4,0.5799200577959166,auto_tag
175,MLPClassifier,False,True,True,False,False,False,0,0.7449263048365807,auto_tag
176,MLPClassifier,False,True,True,False,False,False,1,0.7433522211287772,auto_tag
177,MLPClassifier,False,True,True,False,False,False,2,0.7416624009532085,auto_tag
178,MLPClassifier,False,True,True,False,False,False,3,0.7438605478230496,auto_tag
179,MLPClassifier,False,True,True,False,False,False,4,0.7439891551770573,auto_tag
180,LogisticRegression,False,True,False,True,False,False,0,0.7296772137043425,auto_tag
181,LogisticRegression,False,True,False,True,False,False,1,0.728610807398568,auto_tag
182,LogisticRegression,False,True,False,True,False,False,2,0.7282107364345584,auto_tag
183,LogisticRegression,False,True,False,True,False,False,3,0.7267326340249212,auto_tag
184,LogisticRegression,False,True,False,True,False,False,4,0.7273646302252834,auto_tag
185,NaiveBayes,False,True,False,True,False,False,0,0.5321159303744875,auto_tag
186,NaiveBayes,False,True,False,True,False,False,1,0.544096409593222,auto_tag
187,NaiveBayes,False,True,False,True,False,False,2,0.5599045086798002,auto_tag
188,NaiveBayes,False,True,False,True,False,False,3,0.5536430546990773,auto_tag
189,NaiveBayes,False,True,False,True,False,False,4,0.5575015434931385,auto_tag
